Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PRK,Park National Corporation Common Stock,$121.49,2.99,2.523%,1985224840.00,United States,,19127,Finance,Major Banks
PTK,PTK Acquisition Corp. Common Stock,$9.87,-0.02,-0.202%,126275408.00,United States,2020,2954,,
PTN,Palatin Technologies Inc. Common Stock,$0.5556,-0.0314,-5.349%,127815608.00,United States,,916084,Health Care,Major Pharmaceuticals
PW,Power REIT (MD) Common Stock,$38.93,1.45,3.869%,129342317.00,United States,,24185,Consumer Services,Real Estate Investment Trusts
PW^A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,$26.00,0.00,0.00%,,United States,,50,,
PZG,Paramount Gold Nevada Corp. Common Stock,$1.0101,-0.0299,-2.875%,38077154.00,United States,2015,100372,Basic Industries,Precious Metals
RCG,RENN Fund Inc Common Stock,$2.4742,-0.0258,-1.032%,14726330.00,United States,,8100,,
REI,Ring Energy Inc. Common Stock,$2.86,0.18,6.716%,283929180.00,United States,,1756342,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,$52.08,0.15,0.289%,938560814.00,United States,,42198,Energy,Oil & Gas Production
RHE,Regional Health Properties Inc. Common Stock,$11.77,0.18,1.553%,19870338.00,,2017,188487,Health Care,Hospital/Nursing Management
RHE^A,Regional Health Properties Inc. 10.875% Series A Cumulative Redeemable Preferred Stock,$4.99,-0.24,-4.589%,,,,10780,,
RLGT,Radiant Logistics Inc. Common Stock,$7.087,0.297,4.374%,355196712.00,United States,,90765,Transportation,Oil Refining/Marketing
RMED,Ra Medical Systems Inc. Common Stock,$4.9177,-0.3023,-5.791%,25039173.00,,2018,485847,Health Care,Medical/Dental Instruments
RVP,Retractable Technologies Inc. Common Stock,$10.925,-0.545,-4.752%,371494836.00,United States,,324534,Health Care,Medical/Dental Instruments
SACC,Sachem Capital Corp. 6.875% Notes due 2024,$25.1985,0.0085,0.034%,0.00,United States,2019,3106,Consumer Services,Real Estate Investment Trusts
SACH,Sachem Capital Corp. Common Shares,$5.33,0.12,2.303%,135779948.00,United States,2017,112235,Consumer Services,Real Estate Investment Trusts
SBEV,Splash Beverage Group Inc. Common Stock,$3.1801,0.0402,1.28%,96953706.00,,2021,146924,Consumer Non-Durables,Beverages (Production/Distribution)
SCCB,Sachem Capital Corp. 7.125% Notes due 2024,$25.67,0.00,0.00%,0.00,United States,2019,12,Consumer Services,Real Estate Investment Trusts
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,$26.0624,-0.0276,-0.106%,0.00,United States,2020,2400,Consumer Services,Real Estate Investment Trusts
SDPI,Superior Drilling Products Inc. Common Stock,$0.8899,0.0099,1.125%,22925908.00,,2014,94691,Energy,Metal Fabrications
SEB,Seaboard Corporation Common Stock,$3837.8548,18.8548,0.494%,4454901257.00,United States,1996,239,,
SENS,Senseonics Holdings Inc. Common Stock,$3.225,-0.235,-6.792%,1380532832.00,United States,,22239907,Health Care,Medical Specialities
SIF,SIFCO Industries Inc. Common Stock,$10.075,0.085,0.851%,60340475.00,United States,,4116,Capital Goods,Office Equipment/Supplies/Services
SILV,SilverCrest Metals Inc. Common Shares,$8.99,0.08,0.898%,1298677096.00,,2018,427203,Capital Goods,Industrial Machinery/Components
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$26.50,0.30,1.145%,4087885336.00,Mexico,1993,3571,Basic Industries,Steel/Iron Ore
SMTS,Sierra Metals Inc. Common Stock,$3.145,0.075,2.443%,513981532.00,,,255673,Basic Industries,Precious Metals
SNMP,Evolve Transition Infrastructure LP Common Stock,$0.7307,-0.0169,-2.261%,41054656.00,United States,,1645400,Energy,Oil & Gas Production
SSY,SunLink Health Systems Inc. Common Stock,$2.8046,-0.0154,-0.546%,19407981.00,United States,,95963,Health Care,Medical/Nursing Services
STXS,Stereotaxis Inc. Common Stock,$10.1016,0.3716,3.819%,748669669.00,United States,,384373,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$5.87,0.07,1.207%,1032428573.00,,,427713,Basic Industries,Precious Metals
SVT,Servotronics Inc. Common Stock,$8.5001,-0.0899,-1.047%,21067557.00,United States,,231,Consumer Durables,Metal Fabrications
SYN,Synthetic Biologics Inc. Common Stock,$0.6165,0.0001,0.016%,81404225.00,United States,,1127272,Health Care,Major Pharmaceuticals
TGB,Taseko Mines Ltd. Common Stock,$1.96,0.04,2.083%,555050487.00,Canada,,845660,Basic Industries,Precious Metals
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$1.0328,0.0128,1.255%,201301172.00,Canada,,28590,Basic Industries,Precious Metals
TKAT,Takung Art Co. Ltd. Common Stock,$16.96,-0.49,-2.808%,197793948.00,,,267292,Consumer Services,Catalog/Specialty Distribution
TMBR,Timber Pharmaceuticals Inc. Common Stock,$1.07,-0.01,-0.926%,39422058.00,United States,2015,641200,Consumer Durables,Specialty Chemicals
TMP,Tompkins Financial Corporation Common Stock,$80.31,1.93,2.462%,1197023521.00,United States,,10897,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$2.35,-0.08,-3.292%,339088019.00,Canada,,245423,Basic Industries,Precious Metals
TPHS,Trinity Place Holdings Inc. Common Stock,$2.02,0.03,1.508%,65560247.00,,,18468,Consumer Services,Real Estate
TRT,Trio-Tech International Common Stock,$5.16,0.05,0.978%,20191364.00,United States,,22757,Technology,Industrial Machinery/Components
TRX,Tanzanian Gold Corporation Common Stock,$0.507,-0.013,-2.50%,129219372.00,Canada,,639151,Basic Industries,Precious Metals
UAMY,United States Antimony Corporation Common Stock,$0.8404,-0.0361,-4.119%,89097489.00,United States,,740046,,
UAVS,AgEagle Aerial Systems Inc. Common Stock,$4.93,0.12,2.495%,339953701.00,United States,,1387907,,
UEC,Uranium Energy Corp. Common Stock,$2.815,-0.075,-2.595%,656594240.00,Canada,,5051526,Basic Industries,Other Metals and Minerals
UFAB,Unique Fabricating Inc. Common Stock,$3.95,-0.01,-0.253%,38627631.00,United States,2015,34574,Capital Goods,Auto Parts:O.E.M.
URG,Ur Energy Inc Common Shares (Canada),$1.5699,-0.0301,-1.881%,297321948.00,Canada,,1322700,Basic Industries,Other Metals and Minerals
USAS,Americas Gold and Silver Corporation Common Shares no par value,$1.53,-0.04,-2.548%,203629920.00,,2017,938933,Basic Industries,Precious Metals
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$34.53,0.05,0.145%,1923215338.00,United States,2004,239578,,
UUU,Universal Security Instruments Inc. Common Stock,$7.76,-0.05,-0.64%,17948003.00,United States,,16013,Miscellaneous,Diversified Manufacture
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$6.17,-0.06,-0.963%,905811894.00,,,1670989,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
VCF,Delaware Investments Colorado Municipal Income Fund Inc  Common Stock,$14.84,0.09,0.61%,71782564.00,United States,1993,146,,
VFL,Delaware Investments National Municipal Income Fund Common Stock,$13.99,-0.01,-0.071%,63352918.00,United States,1993,6061,,
VGZ,Vista Gold Corp Common Stock,$1.301,0.011,0.853%,135497749.00,United States,,118722,Basic Industries,Precious Metals
VHAQ,Viveon Health Acquisition Corp. Common Stock,$9.92,-0.02,-0.201%,249550000.00,,2021,519,,
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$12.15,0.01,0.082%,539357345.00,United States,,21616,,
VMM,Delaware Investments Minnesota Municipal Income Fund II Inc. Common Stock,$13.85,-0.02,-0.144%,159343904.00,United States,1993,8509,,
VNRX,VolitionRX Limited Common Stock,$3.15,-0.08,-2.477%,166612046.00,Singapore,2015,138611,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VOLT,Volt Information Sciences Inc. Common Stock,$4.3601,0.3801,9.55%,94773641.00,United States,,280527,Consumer Services,Movies/Entertainment
WLMS,Williams Industrial Services Group Inc. Common Stock,$5.845,0.375,6.856%,151362126.00,,2021,131783,Capital Goods,Oilfield Services/Equipment
WRN,Western Copper and Gold Corporation Common Stock,$2.09,0.05,2.451%,308496801.00,Canada,2011,275370,Basic Industries,Precious Metals
WTT,Wireless Telecom Group  Inc. Common Stock,$2.1333,-0.0667,-3.032%,46207956.00,United States,,83348,Capital Goods,Telecommunications Equipment
WWR,Westwater Resources Inc. Common Stock,$4.43,-0.11,-2.423%,143249875.00,United States,,407640,Basic Industries,Other Metals and Minerals
WYY,WidePoint Corporation Common Stock,$7.14,0.17,2.439%,64769453.00,United States,,67081,Technology,EDP Services
XPL,Solitario Zinc Corp. Common Stock,$0.6466,-0.0134,-2.03%,37780266.00,United States,,194767,,
XTNT,Xtant Medical Holdings Inc. Common Stock,$1.63,0.01,0.617%,141332876.00,United States,,36887,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
XXII,22nd Century Group Inc. Common Stock,$4.40,-0.07,-1.566%,715293084.00,United States,,1049078,Consumer Non-Durables,Farming/Seeds/Milling
YCBD,cbdMD Inc. Common Stock,$2.9475,0.0675,2.344%,167950215.00,United States,2017,86122,Health Care,Major Pharmaceuticals
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$8.70,0.03,0.346%,,United States,,1237,,
ZDGE,Zedge Inc. Class B Common Stock ,$16.44,-0.75,-4.363%,233226734.00,,2016,286377,Technology,Computer Software: Prepackaged Software
ZOM,Zomedica Corp. Common Shares,$0.8466,-0.0408,-4.598%,824884781.00,United States,2017,16275795,,
